 229 CH3      S                 H2CS     H                  2.00e-11    0.50       0.0L   10  300CMI84
 230 CH3      O2H               O2       CH4                6.00e-12    0.00       0.0L   10 2500ANIST
 231 CH3      H2S               HS       CH4                3.30e-13    0.00    1105.0M  300 2500CNIST
 232 O        NH2               OH       NH                 1.39e-11    0.00      40.0L  200 3000ANIST
 233 O        NH2               NO       H2                 8.30e-12    0.00       0.0L  298 3000ANIST
 234 O        NH2               HNO      H                  4.56e-11    0.00     -10.0L  200 3000ANIST
 235 O        CH4               OH       CH3                2.29e-12    2.20    3820.0L  298 2500ANIST
 236 O        OH                O2       H                  4.34e-11   -0.50      30.0L    umist95    
 237 O        NH3               OH       NH2                1.89e-11    0.00    4003.0L  298 2500ANIST
 238 O        H2O               OH       OH                 1.85e-11    0.95    8571.0M  300 2500CNIST
 239 O        H2O               O2H      H                  1.23e-53    0.00       0.0M  298  298ANIST
 240 O        C2                CO       C                  5.00e-11    0.50       0.0L   10  300CMD83
 241 O        C2                CO       C                  6.00e-10    0.00       0.0M 8000 8000ANIST
 242 O        C2H               CO       CH                 1.70e-11    0.00       0.0L  290 2500ANIST
 243 O        CN                NO       C                  3.81e-11    0.50   14545.0L  48441000C    
 244 O        CN                CO       N                  4.36e-11    0.46     364.0C  300 5000BNIST
 245 O        C2H2              C2H      OH                 5.30e-09    0.00    8520.0L  284  300C    
 246 O        C2H2              CO       CH2                8.39e-12    1.03    1197.0L  230 2570ANIST
 247 O        HCN               CN       OH                 6.21e-10    0.00   12439.0L  300 4000ANIST
 248 O        HCN               CO       NH                 7.30e-13    1.14    3742.0L  300 2600ANIST
 249 O        HCN               OCN      H                  1.36e-12    1.38    3693.0L  300 2600ANIST
 250 O        C2H3              CH2CO    H                  1.60e-10    0.00       0.0L   10 2500ANIST
 251 O        N2                NO       N                  2.51e-10    0.00   38602.0L 1400 4700ANIST
 252 O        C2H4              H2CO     CH2                4.20e-11    0.00    2520.0M  226 2500CNIST
 253 O        C2H4              C2H3     OH                 2.42e-13    2.13    1338.0L  290 2300ANIST
 254 O        C2H4              HCO      CH3                1.52e-12    1.55     215.0L  298 2500ANIST
 255 O        C2H4              CH2CO    H2                 5.11e-14    1.88      92.0C  300 2000ANIST
 256 O        HCO               CO2      H                  5.00e-11    0.00       0.0L   10 2500ANIST
 257 O        HCO               CO       OH                 5.00e-11    0.00       0.0L   10 2500ANIST
 258 O        C2H5              H2CO     CH3                2.67e-11    0.00       0.0L   10 2500ANIST
 259 O        C2H5              CH3CHO   H                  1.33e-10    0.00       0.0L   10 2500ANIST
 260 O        SiH               SiO      H                  4.00e-11    0.50       0.0L   10  300CPH80
 261 O        NO                O2       N                  1.18e-11    0.00   20413.0L  200 5000ANIST
 262 O        H2CO              CO       OH       H         1.00e-10    0.00       0.0M 1750 2575ANIST
 263 O        H2CO              HCO      OH                 1.07e-11    1.17    1242.0L  250 2500ANIST
 264 O        SiH2              SiO      H        H         5.00e-11    0.50       0.0L   10  300CHM89
 265 O        HNO               NO       OH                 6.00e-11    0.00       0.0L   10 2500ANIST
 266 O        HNO               O2       NH                 2.94e-12    0.50    3500.0L  116  300C    
 267 O        HNO               NO2      H                  1.44e-12    0.50       0.0L   10  300C    
 268 O        SiH3              H2SiO    H                  5.00e-11    0.50       0.0L   10  300CHM89
